number_courses,time_study,Marks,student_id,class_level,subject,study_hours,test_score,week,attendance_rate,gender,hostel,Tshirt_size,class_name
3,4.508,19.202,1,10,Science,4.508,19.202,2,0.89,F,0,2,Sophomore
4,0.096,7.734,2,12,Math,0.096,7.734,3,0.98,M,0,3,Senior
4,3.133,13.811,3,11,Science,3.133,13.811,5,0.83,F,0,3,Junior
6,7.909,53.018,4,10,Science,7.909,53.018,4,0.92,F,1,4,Sophomore
8,7.811,55.299,5,11,English,7.811,55.299,3,0.8,M,1,4,Junior
6,3.211,17.822,6,10,English,3.211,17.822,2,0.94,F,0,3,Sophomore
3,6.063,29.889,7,11,Math,6.063,29.889,5,0.95,M,0,4,Junior
5,3.413,17.264,8,11,Science,3.413,17.264,2,0.97,F,0,3,Junior
4,4.41,20.348,9,10,English,4.41,20.348,1,0.84,M,1,4,Sophomore
3,6.173,30.862,10,10,Math,6.173,30.862,2,0.97,F,1,2,Sophomore
3,7.353,42.036,11,10,English,7.353,42.036,4,0.8,F,1,3,Sophomore
7,0.423,12.132,12,12,Math,0.423,12.132,4,0.92,F,0,1,Senior
7,4.218,24.318,13,12,Math,4.218,24.318,1,0.93,M,1,4,Senior
3,4.274,17.672,14,11,Science,4.274,17.672,3,0.84,M,1,2,Junior
3,2.908,11.397,15,11,Science,2.908,11.397,2,0.94,F,0,3,Junior
4,4.26,19.466,16,12,Math,4.26,19.466,1,0.99,F,0,1,Senior
5,5.719,30.548,17,11,Math,5.719,30.548,5,0.87,F,1,2,Junior
8,6.08,38.49,18,10,Math,6.08,38.49,1,0.96,M,0,1,Sophomore
6,7.711,50.986,19,11,English,7.711,50.986,4,0.95,M,1,3,Junior
8,3.977,25.133,20,10,Math,3.977,25.133,2,0.99,F,0,1,Sophomore
4,4.733,22.073,21,10,Science,4.733,22.073,4,0.92,M,1,2,Sophomore
6,6.126,35.939,22,11,Math,6.126,35.939,3,0.95,F,0,2,Junior
5,2.051,12.209,23,11,Math,2.051,12.209,4,0.98,F,1,3,Junior
7,4.875,28.043,24,11,Science,4.875,28.043,1,0.89,F,0,2,Junior
4,3.635,16.517,25,11,Science,3.635,16.517,2,0.85,F,1,4,Junior
3,1.407,6.623,26,12,Science,1.407,6.623,2,0.88,F,1,4,Senior
7,0.508,12.647,27,11,English,0.508,12.647,5,0.82,F,1,2,Junior
8,4.378,26.532,28,12,Math,4.378,26.532,2,0.81,M,1,2,Senior
5,0.156,9.333,29,11,English,0.156,9.333,5,0.9,M,1,1,Junior
4,1.299,8.837,30,10,Science,1.299,8.837,5,1.0,M,0,1,Sophomore
8,3.864,24.172,31,12,Math,3.864,24.172,5,0.97,M,1,4,Senior
3,1.923,8.1,32,12,Math,1.923,8.1,4,0.85,F,1,3,Senior
8,0.932,15.038,33,10,English,0.932,15.038,3,0.86,M,0,3,Sophomore
6,6.594,39.965,34,11,Science,6.594,39.965,5,0.99,M,1,3,Junior
3,4.083,17.171,35,12,Science,4.083,17.171,3,0.95,M,0,3,Senior
3,7.543,43.978,36,11,Math,7.543,43.978,2,1.0,M,0,1,Junior
4,2.966,13.119,37,10,English,2.966,13.119,3,0.92,F,1,4,Sophomore
6,7.283,46.453,38,12,Science,7.283,46.453,2,0.96,M,0,3,Senior
7,6.533,41.358,39,10,Math,6.533,41.358,1,0.96,M,1,3,Sophomore
6,7.775,51.142,40,11,Science,7.775,51.142,5,0.97,M,0,3,Junior
4,0.14,7.336,41,10,Science,0.14,7.336,3,0.83,F,0,1,Sophomore
6,2.754,15.725,42,10,Science,2.754,15.725,5,0.87,F,1,1,Sophomore
6,3.591,19.771,43,11,English,3.591,19.771,3,1.0,F,1,3,Junior
5,1.557,10.429,44,10,Math,1.557,10.429,4,0.88,F,1,3,Sophomore
4,1.954,9.742,45,10,English,1.954,9.742,3,0.83,M,1,2,Sophomore
3,2.061,8.924,46,11,Science,2.061,8.924,5,0.83,M,0,4,Junior
4,3.797,16.703,47,11,Math,3.797,16.703,4,0.88,M,1,3,Junior
4,4.779,22.701,48,12,English,4.779,22.701,5,0.84,M,1,4,Senior
3,5.635,26.882,49,10,Math,5.635,26.882,1,0.98,M,1,1,Sophomore
5,3.913,19.106,50,11,English,3.913,19.106,3,0.87,F,0,4,Junior
6,6.703,40.602,51,12,Math,6.703,40.602,2,0.91,M,1,4,Senior
6,4.13,22.184,52,10,English,4.13,22.184,4,0.99,F,0,2,Sophomore
4,0.771,7.892,53,11,Math,0.771,7.892,1,0.99,M,1,1,Junior
7,6.049,36.653,54,12,Math,6.049,36.653,4,0.87,M,0,1,Senior
8,7.591,53.158,55,12,Math,7.591,53.158,1,0.97,M,0,2,Senior
7,2.913,18.238,56,11,Math,2.913,18.238,5,0.98,F,0,2,Junior
8,7.641,53.359,57,10,Science,7.641,53.359,2,0.97,F,0,2,Sophomore
7,7.649,51.583,58,12,English,7.649,51.583,5,0.97,M,1,3,Senior
3,6.198,31.236,59,10,Science,6.198,31.236,5,0.87,M,0,3,Sophomore
8,7.468,51.343,60,11,Science,7.468,51.343,5,0.93,F,1,1,Junior
6,0.376,10.522,61,12,Math,0.376,10.522,5,0.91,F,0,2,Senior
4,2.438,10.844,62,12,English,2.438,10.844,3,0.83,F,1,1,Senior
6,3.606,19.59,63,10,Science,3.606,19.59,3,0.8,M,0,2,Sophomore
3,4.869,21.379,64,12,Science,4.869,21.379,1,0.92,F,0,4,Senior
7,0.13,12.591,65,12,Math,0.13,12.591,2,0.88,M,1,1,Senior
6,2.142,13.562,66,10,English,2.142,13.562,1,0.97,M,1,2,Sophomore
4,5.473,27.569,67,10,Science,5.473,27.569,1,0.92,M,1,3,Sophomore
3,0.55,6.185,68,11,Math,0.55,6.185,5,0.94,F,0,3,Junior
4,1.395,8.92,69,11,Math,1.395,8.92,4,0.85,M,1,1,Junior
6,3.948,21.4,70,12,Science,3.948,21.4,2,0.91,F,1,4,Senior
4,3.736,16.606,71,12,Math,3.736,16.606,2,0.95,M,0,3,Senior
5,2.518,13.416,72,10,Science,2.518,13.416,3,0.84,F,0,3,Sophomore
3,4.633,20.398,73,11,Math,4.633,20.398,4,0.81,M,0,2,Junior
3,1.629,7.014,74,12,Science,1.629,7.014,5,0.82,M,1,1,Senior
4,6.954,39.952,75,10,Math,6.954,39.952,4,0.93,M,1,2,Sophomore
3,0.803,6.217,76,10,English,0.803,6.217,1,0.99,F,0,2,Sophomore
5,6.379,36.746,77,10,English,6.379,36.746,1,0.94,M,0,1,Sophomore
8,5.985,38.278,78,11,Science,5.985,38.278,5,0.91,F,0,1,Junior
7,7.451,49.544,79,12,Math,7.451,49.544,4,0.96,F,1,1,Senior
3,0.805,6.349,80,11,English,0.805,6.349,1,0.94,M,0,4,Junior
7,7.957,54.321,81,10,Math,7.957,54.321,4,0.92,F,0,2,Sophomore
8,2.262,17.705,82,11,English,2.262,17.705,3,0.86,F,1,3,Junior
4,7.41,44.099,83,10,Math,7.41,44.099,2,0.85,F,0,2,Sophomore
5,3.197,16.106,84,12,Math,3.197,16.106,5,0.95,F,0,1,Senior
8,1.982,16.461,85,11,Science,1.982,16.461,2,0.82,M,0,2,Junior
8,6.201,39.957,86,10,Science,6.201,39.957,1,0.83,M,0,4,Sophomore
7,4.067,23.149,87,12,Science,4.067,23.149,1,0.86,F,1,3,Senior
3,1.033,6.053,88,12,Math,1.033,6.053,5,0.96,F,0,3,Senior
5,1.803,11.253,89,11,Math,1.803,11.253,2,0.83,F,0,4,Junior
7,6.376,40.024,90,12,Science,6.376,40.024,4,0.86,F,0,2,Senior
7,4.182,24.394,91,11,English,4.182,24.394,3,0.84,M,0,2,Junior
8,2.73,19.564,92,10,Math,2.73,19.564,4,0.81,F,0,2,Sophomore
4,5.027,23.916,93,12,Science,5.027,23.916,1,0.82,F,0,1,Senior
8,6.471,42.426,94,12,Science,6.471,42.426,2,0.91,M,0,3,Senior
8,3.919,24.451,95,11,English,3.919,24.451,1,0.82,F,1,3,Junior
6,3.561,19.128,96,11,English,3.561,19.128,4,0.94,F,1,3,Junior
3,0.301,5.609,97,10,Science,0.301,5.609,2,0.83,M,1,3,Sophomore
4,7.163,41.444,98,11,Math,7.163,41.444,3,0.97,M,0,1,Junior
7,0.309,12.027,99,12,Math,0.309,12.027,1,0.98,F,0,1,Senior
3,6.335,32.357,100,12,Science,6.335,32.357,5,0.95,M,1,2,Senior
