student_id,class_level,subject,study_hours,test_score,week,attendance_rate,gender,hostel,Tshirt_size
1,Freshman,Math,5,78,1,90,Male,True,30
2,Freshman,Science,3,65,1,80,Female,False,20
3,Freshman,History,4,70,1,85,Male,True,20
4,Freshman,Language,2,60,1,75,Female,True,40
5,Sophomore,Math,6,82,1,92,Male,True,20
6,Sophomore,Science,4,68,1,88,Female,False,20
7,Sophomore,History,5,72,1,90,Male,True,20
8,Sophomore,Language,3,66,1,85,Female,True,40
9,Junior,Math,8,88,1,95,Male,True,20
10,Junior,Science,7,78,1,89,Female,False,30
11,Junior,History,6,74,1,87,Male,True,40
12,Junior,Language,5,75,1,86,Female,True,30
13,Senior,Math,7,85,1,93,Male,True,40
14,Senior,Science,6,80,1,90,Female,True,20
15,Senior,History,7,83,1,91,Male,False,30
16,Senior,Language,4,73,1,84,Female,True,40
17,Freshman,Math,4,75,2,88,Male,False,10
18,Freshman,Science,2,62,2,78,Female,False,20
19,Freshman,History,3,68,2,82,Male,False,40
20,Freshman,Language,3,64,2,80,Female,True,10
21,Sophomore,Math,7,84,2,94,Male,False,40
22,Sophomore,Science,5,70,2,89,Female,True,10
23,Sophomore,History,6,76,2,91,Male,False,20
24,Sophomore,Language,4,69,2,86,Female,False,30
25,Junior,Math,9,92,2,96,Male,False,10
26,Junior,Science,8,81,2,90,Female,False,40
27,Junior,History,7,77,2,88,Male,False,20
28,Junior,Language,6,79,2,87,Female,False,10
29,Senior,Math,8,88,2,94,Male,False,40
30,Senior,Science,7,82,2,91,Female,False,40
31,Senior,History,6,78,2,88,Male,True,40
32,Senior,Language,5,74,2,85,Female,True,10
33,Freshman,Math,3,72,3,80,Male,False,10
34,Freshman,Science,2,60,3,75,Female,False,10
35,Freshman,History,3,66,3,78,Male,False,30
36,Freshman,Language,1,58,3,70,Female,True,10
37,Sophomore,Math,5,80,3,90,Male,False,10
38,Sophomore,Science,3,67,3,83,Female,True,10
39,Sophomore,History,4,71,3,85,Male,True,30
40,Sophomore,Language,2,63,3,76,Female,True,10
41,Junior,Math,8,89,3,95,Male,True,40
42,Junior,Science,7,79,3,88,Female,True,10
43,Junior,History,5,73,3,82,Male,False,40
44,Junior,Language,4,70,3,81,Female,False,40
45,Senior,Math,7,86,3,92,Male,False,40
46,Senior,Science,6,81,3,89,Female,False,30
47,Senior,History,5,75,3,84,Male,False,30
48,Senior,Language,3,68,3,80,Female,True,30
49,Senior,Math,9,90,4,97,Male,False,10
50,Senior,Science,8,84,4,93,Female,False,40
51,Freshman,Math,4,74,4,85,Male,True,30
52,Freshman,Science,3,63,4,77,Female,False,30
53,Freshman,History,4,69,4,82,Male,True,10
54,Freshman,Language,2,61,4,72,Female,False,30
55,Sophomore,Math,6,83,4,93,Male,True,10
56,Sophomore,Science,4,69,4,88,Female,False,20
57,Sophomore,History,5,73,4,89,Male,False,30
58,Sophomore,Language,3,67,4,80,Female,True,20
59,Junior,Math,9,91,4,97,Male,True,10
60,Junior,Science,8,83,4,91,Female,True,40
61,Junior,History,7,76,4,88,Male,True,30
62,Junior,Language,6,78,4,89,Female,True,10
63,Senior,Math,8,89,4,95,Male,True,40
64,Senior,Science,7,83,4,90,Female,True,40
65,Senior,History,6,79,4,88,Male,True,20
66,Senior,Language,5,72,4,85,Female,False,10
67,Freshman,Math,3,70,5,80,Male,False,40
68,Freshman,Science,2,59,5,72,Female,True,30
69,Freshman,History,3,65,5,75,Male,False,30
70,Freshman,Language,1,57,5,68,Female,False,20
71,Sophomore,Math,5,78,5,90,Male,False,40
72,Sophomore,Science,3,65,5,82,Female,False,10
73,Sophomore,History,4,70,5,83,Male,True,30
74,Sophomore,Language,2,62,5,75,Female,False,40
75,Junior,Math,8,88,5,96,Male,True,40
76,Junior,Science,7,80,5,89,Female,False,20
77,Junior,History,6,74,5,87,Male,False,30
78,Junior,Language,5,71,5,84,Female,False,30
79,Senior,Math,7,87,5,93,Male,True,10
80,Senior,Science,6,82,5,90,Female,False,30
81,Senior,History,5,76,5,88,Male,True,10
82,Senior,Language,4,70,5,82,Female,False,30
83,Freshman,Math,2,68,6,75,Male,True,20
84,Freshman,Science,1,55,6,70,Female,False,30
85,Freshman,History,2,63,6,73,Male,True,10
86,Freshman,Language,1,54,6,65,Female,True,10
87,Sophomore,Math,4,76,6,88,Male,False,20
88,Sophomore,Science,2,64,6,79,Female,True,30
89,Sophomore,History,3,68,6,82,Male,False,30
90,Sophomore,Language,1,60,6,70,Female,False,20
91,Junior,Math,7,85,6,94,Male,False,30
92,Junior,Science,6,78,6,88,Female,False,30
93,Junior,History,5,72,6,84,Male,False,10
94,Junior,Language,4,68,6,80,Female,False,30
95,Senior,Math,6,84,6,91,Male,False,30